ASX Code,Name,Industry,Sector,Market Cap,Employee Number,Total Revenue,Price,Volume,P/E Ratio,Earning Per Share,Return On Equity
14D.AX,1414 Degrees Limited,Utilities—Independent Power Producers,Utilities,14528309,N/A,N/A,0.061,78146,N/A,-0.01,-0.21796
1AD.AX,AdAlta Limited,Biotechnology,Healthcare,13671165,10,3499729,0.026,2324018,N/A,-0.01,-1.96581
1AG.AX,Alterra Limited,Specialty Business Services,Industrials,4353455,N/A,335000,0.005,225203,N/A,N/A,-0.19614
1AE.AX,Aurora Energy Metals Limited,Uranium,Energy,19697040,N/A,50000,0.11,615994,N/A,-0.01,-0.81478
1MC.AX,Morella Corporation Limited,Other Industrial Metals & Mining,Basic Materials,18536400,N/A,548730,0.003,2805708,N/A,N/A,-0.33085
29M.AX,29Metals Limited,Other Precious Metals & Mining,Basic Materials,294713568,N/A,449748000,0.42,5725457,N/A,-0.8,-0.77408
1CG.AX,One Click Group Limited,Software—Application,Technology,6838137,N/A,3925914,0.009,1305421,N/A,N/A,-1.08546
1TT.AX,Thrive Tribe Technologies Limited,Software—Application,Technology,4745952,N/A,870228,0.016,276054,N/A,-0.01,-2.23511
3DA.AX,Amaero International Ltd,Specialty Industrial Machinery,Industrials,203832128,N/A,838876,0.425,437675,N/A,-0.03,-0.74994004
1ST.AX,,,,Not available,,,,,,,
4DS.AX,4DS Memory Limited,Semiconductors,Technology,158708704,N/A,7323,0.09,8387875,N/A,N/A,-0.68819
3DP.AX,Pointerra Limited,Software—Application,Technology,31254810,N/A,5959103,0.043,770144,N/A,-0.01,N/A
3PL.AX,3P Learning Limited,Education & Training Services,Consumer Defensive,343217536,380,109235000,1.25,149205,N/A,-0.02,-0.03128
4DX.AX,4DMedical Limited,Medical Devices,Healthcare,252253040,131,1025218,0.645,803188,N/A,-0.09,-0.45825002
5GG.AX,Pentanet Limited,Telecom Services,Communication Services,24292254,N/A,20418000,0.065,4037244,N/A,-0.02,-0.1967
88E.AX,88 Energy Limited,Oil & Gas E&P,Energy,150744608,10,2500,0.006,30941736,N/A,N/A,-0.116960004
3MF.AX,,,,Not available,,,,,,,
A11.AX,Atlantic Lithium Limited,Other Industrial Metals & Mining,Basic Materials,252773248,N/A,10000,0.375,257329,N/A,-0.02,-0.40547
92E.AX,92 Energy Limited,Uranium,Energy,53329000,N/A,N/A,0.5,772223,N/A,-0.07,-0.95315003
8CO.AX,8common Limited,Software—Application,Technology,8963800,N/A,8438485,0.04,60823,N/A,-0.02,-1.1891301
A2B.AX,A2B Australia Limited,Software—Infrastructure,Technology,177713328,N/A,158855008,1.445,1311235,2.4083333,0.6,0.84498
A2M.AX,The a2 Milk Company Limited,Packaged Foods,Consumer Defensive,4409903104,465,1620200960,6.1,3141973,32.105263,0.19,0.12892
A1G.AX,African Gold Limited,Other Industrial Metals & Mining,Basic Materials,5925885,N/A,N/A,0.035,56694,N/A,-0.01,-0.16638
A1N.AX,ARN Media Limited,Broadcasting,Communication Services,270788224,N/A,334292000,0.865,85241,N/A,-0.03,-0.020469999
A1M.AX,AIC Mines Limited,Other Precious Metals & Mining,Basic Materials,166489568,N/A,159138000,0.36,472434,36.000004,0.01,N/A
A3D.AX,Aurora Labs Limited,Specialty Industrial Machinery,Industrials,8977848,15,220064,0.031,361766,N/A,-0.01,-3.59701
A4N.AX,Alpha HPA Limited,Other Industrial Metals & Mining,Basic Materials,868433024,N/A,32812,0.93,1177626,N/A,-0.02,-0.25403
AAC.AX,Australian Agricultural Company Limited,Farm Products,Consumer Defensive,828804608,N/A,316766016,1.375,148338,N/A,-0.26,-0.10655
AAJ.AX,Aruma Resources Limited,Gold,Basic Materials,3740948,N/A,328537,0.019,195112,N/A,-0.01,-0.66699
A8G.AX,Australasian Metals Limited,Gold,Basic Materials,3127230,N/A,N/A,0.06,21064,N/A,N/A,-0.01096
AAP.AX,Australian Agricultural Projects Ltd,Farm Products,Consumer Defensive,8477892,N/A,3235952,0.023,56197,Infinity,N/A,0.01498
ABA.AX,Auswide Bank Ltd,Banks—Regional,Financial Services,203310736,N/A,92129000,4.36,39134,10.634147,0.41,0.06379
AAU.AX,Antilles Gold Limited,Gold,Basic Materials,17069314,N/A,-166843,0.019,1171137,N/A,-0.03,-0.67736
ABB.AX,Aussie Broadband Limited,Telecom Services,Communication Services,1065617792,N/A,854908992,3.61,1470625,40.111107,0.09,0.06398
AAR.AX,Astral Resources NL,Gold,Basic Materials,49965172,N/A,N/A,0.063,382613,N/A,N/A,-0.12262
ABC.AX,Adbri Limited,Building Materials,Basic Materials,2054898304,1600,1922899968,3.13,1774624,22.357143,0.14,0.069
ABE.AX,Australian Bond Exchange Holdings Limited,Capital Markets,Financial Services,2526898,N/A,4460358,0.022,115260,N/A,-0.06,-0.81644
ABV.AX,Advanced Braking Technology Limited,Auto Parts,Consumer Cyclical,19047800,27,14273000,0.05,213665,Infinity,N/A,0.21297
