ASX Code,Name,Industry,Sector,Market Cap,Employee Number,Total Revenue,Price,Volume,P/E Ratio,Earning Per Share,Return On Equity
14D.AX,1414 Degrees Limited,Utilities—Independent Power Producers,Utilities,14528309.0,nan,nan,0.061,78146.0,nan,-0.01,-0.21796
1AD.AX,AdAlta Limited,Biotechnology,Healthcare,13671165.0,10.0,3499729.0,0.026,2324018.0,nan,-0.01,-1.96581
1AG.AX,Alterra Limited,Specialty Business Services,Industrials,4353455.0,nan,335000.0,0.005,225203.0,nan,nan,-0.19614
1AE.AX,Aurora Energy Metals Limited,Uranium,Energy,19697040.0,nan,50000.0,0.11,615994.0,nan,-0.01,-0.81478
1MC.AX,Morella Corporation Limited,Other Industrial Metals & Mining,Basic Materials,18536400.0,nan,548730.0,0.003,2805708.0,nan,nan,-0.33085
29M.AX,29Metals Limited,Other Precious Metals & Mining,Basic Materials,294713568.0,nan,449748000.0,0.42,5725457.0,nan,-0.8,-0.77408
1CG.AX,One Click Group Limited,Software—Application,Technology,6838137.0,nan,3925914.0,0.009,1305421.0,nan,nan,-1.08546
1TT.AX,Thrive Tribe Technologies Limited,Software—Application,Technology,4745952.0,nan,870228.0,0.016,276054.0,nan,-0.01,-2.23511
3DA.AX,Amaero International Ltd,Specialty Industrial Machinery,Industrials,203832128.0,nan,838876.0,0.425,437675.0,nan,-0.03,-0.74994004
4DS.AX,4DS Memory Limited,Semiconductors,Technology,158708704.0,nan,7323.0,0.09,8387875.0,nan,nan,-0.68819
3DP.AX,Pointerra Limited,Software—Application,Technology,31254810.0,nan,5959103.0,0.043,770144.0,nan,-0.01,nan
3PL.AX,3P Learning Limited,Education & Training Services,Consumer Defensive,343217536.0,380.0,109235000.0,1.25,149205.0,nan,-0.02,-0.03128
4DX.AX,4DMedical Limited,Medical Devices,Healthcare,252253040.0,131.0,1025218.0,0.645,803188.0,nan,-0.09,-0.45825002
5GG.AX,Pentanet Limited,Telecom Services,Communication Services,24292254.0,nan,20418000.0,0.065,4037244.0,nan,-0.02,-0.1967
88E.AX,88 Energy Limited,Oil & Gas E&P,Energy,150744608.0,10.0,2500.0,0.006,30941736.0,nan,nan,-0.116960004
A11.AX,Atlantic Lithium Limited,Other Industrial Metals & Mining,Basic Materials,252773248.0,nan,10000.0,0.375,257329.0,nan,-0.02,-0.40547
92E.AX,92 Energy Limited,Uranium,Energy,53329000.0,nan,nan,0.5,772223.0,nan,-0.07,-0.95315003
8CO.AX,8common Limited,Software—Application,Technology,8963800.0,nan,8438485.0,0.04,60823.0,nan,-0.02,-1.1891301
A2B.AX,A2B Australia Limited,Software—Infrastructure,Technology,177713328.0,nan,158855008.0,1.445,1311235.0,2.4083333,0.6,0.84498
A2M.AX,The a2 Milk Company Limited,Packaged Foods,Consumer Defensive,4409903104.0,465.0,1620200960.0,6.1,3141973.0,32.105263,0.19,0.12892
A1G.AX,African Gold Limited,Other Industrial Metals & Mining,Basic Materials,5925885.0,nan,nan,0.035,56694.0,nan,-0.01,-0.16638
A1N.AX,ARN Media Limited,Broadcasting,Communication Services,270788224.0,nan,334292000.0,0.865,85241.0,nan,-0.03,-0.020469999
A1M.AX,AIC Mines Limited,Other Precious Metals & Mining,Basic Materials,166489568.0,nan,159138000.0,0.36,472434.0,36.000004,0.01,nan
A3D.AX,Aurora Labs Limited,Specialty Industrial Machinery,Industrials,8977848.0,15.0,220064.0,0.031,361766.0,nan,-0.01,-3.59701
A4N.AX,Alpha HPA Limited,Other Industrial Metals & Mining,Basic Materials,868433024.0,nan,32812.0,0.93,1177626.0,nan,-0.02,-0.25403
AAC.AX,Australian Agricultural Company Limited,Farm Products,Consumer Defensive,828804608.0,nan,316766016.0,1.375,148338.0,nan,-0.26,-0.10655
AAJ.AX,Aruma Resources Limited,Gold,Basic Materials,3740948.0,nan,328537.0,0.019,195112.0,nan,-0.01,-0.66699
A8G.AX,Australasian Metals Limited,Gold,Basic Materials,3127230.0,nan,nan,0.06,21064.0,nan,nan,-0.01096
AAP.AX,Australian Agricultural Projects Ltd,Farm Products,Consumer Defensive,8477892.0,nan,3235952.0,0.023,56197.0,inf,nan,0.01498
ABA.AX,Auswide Bank Ltd,Banks—Regional,Financial Services,203310736.0,nan,92129000.0,4.36,39134.0,10.634147,0.41,0.06379
AAU.AX,Antilles Gold Limited,Gold,Basic Materials,17069314.0,nan,-166843.0,0.019,1171137.0,nan,-0.03,-0.67736
ABB.AX,Aussie Broadband Limited,Telecom Services,Communication Services,1065617792.0,nan,854908992.0,3.61,1470625.0,40.111107,0.09,0.06398
AAR.AX,Astral Resources NL,Gold,Basic Materials,49965172.0,nan,nan,0.063,382613.0,nan,nan,-0.12262
ABC.AX,Adbri Limited,Building Materials,Basic Materials,2054898304.0,1600.0,1922899968.0,3.13,1774624.0,22.357143,0.14,0.069
ABE.AX,Australian Bond Exchange Holdings Limited,Capital Markets,Financial Services,2526898.0,nan,4460358.0,0.022,115260.0,nan,-0.06,-0.81644
ABV.AX,Advanced Braking Technology Limited,Auto Parts,Consumer Cyclical,19047800.0,27.0,14273000.0,0.05,213665.0,inf,nan,0.21297
ABX.AX,ABx Group Limited,Aluminum,Basic Materials,13502160.0,nan,236000.0,0.054,104039.0,nan,-0.02,-0.28322
ABY.AX,Adore Beauty Group Limited,Internet Retail,Consumer Cyclical,116507800.0,nan,187019008.0,1.24,34907.0,124.0,0.01,0.01406
AC8.AX,AusCann Group Holdings Ltd,Drug Manufacturers—Specialty & Generic,Healthcare,17621880.0,nan,1551165.0,0.04,nan,nan,-0.06,-0.84468
ACL.AX,Australian Clinical Labs Limited,Diagnostics & Research,Healthcare,542933440.0,5115.0,674028032.0,2.69,481297.0,33.625,0.08,0.09193
ACP.AX,Audalia Resources Limited,Other Industrial Metals & Mining,Basic Materials,13842720.0,nan,19113.0,0.02,53262.0,nan,nan,-0.29179
ACF.AX,Acrow Limited,Engineering & Construction,Industrials,351071904.0,300.0,168707888.0,1.195,520987.0,13.277778,0.09,0.23343
ACQ.AX,Acorn Capital Investment Fund Limited,Asset Management,Financial Services,78560568.0,nan,1411000.0,0.89,59968.0,inf,nan,0.00091
ACE.AX,Acusensus Limited,Software—Infrastructure,Technology,75840000.0,127.0,46902500.0,0.6,183972.0,inf,nan,0.0028900001
ACR.AX,Acrux Limited,Biotechnology,Healthcare,13663698.0,nan,11417000.0,0.047,190189.0,nan,nan,-0.12205
ACS.AX,Accent Resources NL,Other Industrial Metals & Mining,Basic Materials,3311889.0,nan,nan,0.007,4376.0,nan,-0.01,-1.61928
ACU.AX,Acumentis Group Limited,Real Estate Services,Real Estate,19417576.0,nan,54960000.0,0.089,100414.0,8.900001,0.01,0.07439
ACW.AX,Actinogen Medical Limited,Biotechnology,Healthcare,69940200.0,nan,4792864.0,0.03,3308658.0,nan,-0.01,-1.06021
AD1.AX,AD1 Holdings Limited,Staffing & Employment Services,Industrials,8087831.0,nan,5064461.0,0.009,193470.0,nan,-0.01,nan
AD8.AX,Audinate Group Limited,Electronic Components,Technology,1766893056.0,204.0,85460000.0,21.26,324757.0,106.3,0.2,0.13015
ADC.AX,ACDC Metals Limited,Other Industrial Metals & Mining,Basic Materials,4121391.0,nan,nan,0.057,48359.0,nan,-0.02,nan
ADD.AX,Adavale Resources Limited,Uranium,Energy,6095880.0,nan,541890.0,0.006,2962373.0,nan,-0.01,-12.782431
ADA.AX,Adacel Technologies Limited,Software—Application,Technology,52976376.0,nan,26258000.0,0.695,26329.0,nan,-0.03,-0.16142
ADG.AX,Adelong Gold Limited,Gold,Basic Materials,2641467.0,nan,8420.0,0.003,1451586.0,nan,nan,-0.15134
ADH.AX,Adairs Limited,Specialty Retail,Consumer Cyclical,434358016.0,nan,599515008.0,2.51,818860.0,11.409091,0.22,0.16188
ADN.AX,Andromeda Metals Limited,Other Industrial Metals & Mining,Basic Materials,62205396.0,nan,nan,0.02,8043418.0,nan,nan,-0.058769997
ADO.AX,AnteoTech Limited,Biotechnology,Healthcare,81268280.0,nan,1020282.0,0.037,1454136.0,nan,-0.01,-1.6800301
ADR.AX,Adherium Limited,nan,nan,14337920.0,nan,2352080.0,0.043,148592.0,nan,-0.04,-0.9883
ADS.AX,Adslot Limited,Software—Infrastructure,Technology,9673500.0,nan,8710625.0,0.003,1910538.0,nan,nan,-1.4840199
ADV.AX,Ardiden Limited,Other Industrial Metals & Mining,Basic Materials,10002800.0,nan,-22417954.0,0.16,51157.0,1.2307693,0.13,-0.16768
ADX.AX,ADX Energy Ltd,Oil & Gas E&P,Energy,52656116.0,nan,14839284.0,0.12,2314181.0,nan,-0.01,-0.34816003
AEF.AX,Australian Ethical Investment Limited,Asset Management,Financial Services,567293504.0,126.0,93027000.0,5.03,103149.0,45.727276,0.11,0.47243
ADY.AX,Admiralty Resources NL,Other Industrial Metals & Mining,Basic Materials,7821480.0,nan,39976.0,0.006,138648.0,nan,nan,-0.3166
AER.AX,Aeeris Limited,Software—Application,Technology,6060154.0,nan,2766903.0,0.083,5454.0,nan,-0.01,-0.22483999
AEE.AX,Aura Energy Limited,Uranium,Energy,126143848.0,nan,nan,0.175,1693464.0,nan,-0.01,-0.18221001
AEI.AX,Aeris Environmental Ltd,Pollution & Treatment Controls,Industrials,14741700.0,nan,2640477.0,0.06,267016.0,nan,-0.02,-1.2375801
AEV.AX,Avenira Limited,Other Industrial Metals & Mining,Basic Materials,19733130.0,nan,1049.0,0.009,1963665.0,nan,nan,-0.21500999
AFA.AX,ASF Group Limited,Capital Markets,Financial Services,36450308.0,nan,797000.0,0.046,34.0,nan,-0.01,nan
AFI.AX,Australian Foundation Investment Company Limited,Asset Management,Financial Services,9224071168.0,nan,338785984.0,7.37,402873.0,30.708334,0.24,0.038900003
AFG.AX,Australian Finance Group Limited,Mortgage Finance,Financial Services,444061152.0,278.0,1035326976.0,1.64,522211.0,14.909091,0.11,0.15715
AFW.AX,Applyflow Limited,Internet Content & Information,Communication Services,2366096.0,nan,2050898.0,0.016,nan,nan,-0.02,-1.30159
AFL.AX,AF Legal Group Limited,Personal Services,Consumer Cyclical,14789362.0,nan,20767000.0,0.165,50228.0,16.500002,0.01,0.20401
AGE.AX,Alligator Energy Limited,Uranium,Energy,239463216.0,32.0,601624.0,0.062,20189810.0,nan,nan,-0.05606
AGD.AX,Austral Gold Limited,Other Precious Metals & Mining,Basic Materials,15307775.0,nan,47729000.0,0.025,54934.0,nan,-0.02,-0.16959
AGC.AX,Australian Gold and Copper Limited,Gold,Basic Materials,17333316.0,nan,-398.0,0.078,164398.0,nan,-0.01,-0.03541
AGH.AX,Althea Group Holdings Limited,Drug Manufacturers—Specialty & Generic,Healthcare,13375956.0,nan,28673000.0,0.033,519002.0,nan,-0.06,-0.82649004
AGI.AX,Ainsworth Game Technology Limited,Gambling,Consumer Cyclical,419308512.0,nan,284862016.0,1.245,85233.0,nan,-0.03,-0.02052
AGL.AX,AGL Energy Limited,Utilities—Independent Power Producers,Utilities,5711622144.0,3735.0,12531999744.0,8.49,2807537.0,14.894736,0.57,0.0694
AGN.AX,Argenica Therapeutics Limited,Biotechnology,Healthcare,64332816.0,nan,2724407.0,0.645,128333.0,nan,-0.05,-0.69001997
AGR.AX,Aguia Resources Limited,Other Industrial Metals & Mining,Basic Materials,10430748.0,nan,-49380.0,0.018,725794.0,nan,nan,-0.059899997
AGY.AX,Argosy Minerals Limited,Other Industrial Metals & Mining,Basic Materials,182573296.0,nan,523153.0,0.13,4533818.0,nan,-0.01,-0.010720001
AHC.AX,Austco Healthcare Limited,Medical Instruments & Supplies,Healthcare,55125376.0,nan,44279000.0,0.185,142927.0,18.5,0.01,0.081549995
AHK.AX,Ark Mines Limited,Gold,Basic Materials,8316960.0,nan,nan,0.15,26452.0,nan,-0.03,-0.27091
