ASX Code,Security Group Code,Issuer Name Full,Product Description Abbrev,Last Price ($),Business Date
14D   ,EQY,1414 DEGREES LIMITED                                        ,ORDINARY            ,0.048,20230630
1AD   ,EQY,ADALTA LIMITED                                              ,ORDINARY            ,0.024,20230630
1AE   ,EQY,AURORA ENERGY METALS LIMITED                                ,ORDINARY            ,0.063,20230630
1AG   ,EQY,ALTERRA LIMITED                                             ,ORDINARY            ,0.01,20230629
1CG   ,EQY,ONE CLICK GROUP LIMITED                                     ,ORDINARY            ,0.009,20230630
1MC   ,EQY,MORELLA CORPORATION LIMITED                                 ,ORDINARY            ,0.008,20230630
1ST   ,EQY,1ST GROUP LIMITED                                           ,ORDINARY            ,0.005,20230630
1TT   ,EQY,THRIVE TRIBE TECHNOLOGIES LIMITED                           ,ORDINARY            ,0.039,20230630
29M   ,EQY,29METALS LIMITED                                            ,ORDINARY            ,0.845,20230630
360,EQY,LIFE360 INC.                                                ,CDI3:1 USPROHEXCLQIB,7.6,20230630
3DA   ,EQY,AMAERO INTERNATIONAL LTD                                    ,ORDINARY            ,0.097,20230630
3DP   ,EQY,POINTERRA LIMITED                                           ,ORDINARY            ,0.088,20230630
3MF   ,EQY,3D METALFORGE LIMITED                                       ,ORDINARY            ,-,-
3PL   ,EQY,3P LEARNING LIMITED..                                       ,ORDINARY            ,1.1,20230630
4DS   ,EQY,4DS MEMORY LIMITED                                          ,ORDINARY            ,0.03,20230630
4DX   ,EQY,4DMEDICAL LIMITED                                           ,ORDINARY            ,0.67,20230630
5EA   ,EQY,5E ADVANCED MATERIALS INC.                                  ,CDI 10:1            ,0.53,20230630
5GG   ,EQY,PENTANET LIMITED                                            ,ORDINARY            ,0.078,20230630
88E   ,EQY,88 ENERGY LIMITED                                           ,ORDINARY            ,0.007,20230630
8CO   ,EQY,8COMMON LIMITED                                             ,ORDINARY            ,0.075,20230630
8IH   ,EQY,8I HOLDINGS LTD                                             ,CDI 1:1             ,0.03,20230630
8VI   ,EQY,8VI HOLDINGS LIMITED                                        ,CDI 1:1             ,0.32,20230629
92E   ,EQY,92 ENERGY LIMITED                                           ,ORDINARY            ,0.39,20230630
A11   ,EQY,ATLANTIC LITHIUM LIMITED                                    ,ORDINARY            ,0.545,20230630
A1G   ,EQY,AFRICAN GOLD LTD.                                           ,ORDINARY            ,0.057,20230630
A1M   ,EQY,AIC MINES LIMITED                                           ,ORDINARY            ,0.41,20230630
A1N   ,EQY,ARN MEDIA LIMITED                                           ,ORDINARY            ,1.05,20230630
A2B   ,EQY,A2B AUSTRALIA LIMITED                                       ,ORDINARY            ,1.485,20230630
A2M   ,EQY,THE A2 MILK COMPANY LIMITED                                 ,ORDINARY            ,4.89,20230630
A3D   ,EQY,AURORA LABS LIMITED                                         ,ORDINARY            ,0.021,20230630
A4N   ,EQY,ALPHA HPA LIMITED                                           ,ORDINARY            ,1.15,20230630
A8G   ,EQY,AUSTRALASIAN METALS LIMITED                                 ,ORDINARY            ,0.115,20230630
AAC   ,EQY,AUSTRALIAN AGRICULTURAL COMPANY LIMITED.                    ,ORDINARY            ,1.46,20230630
AAJ   ,EQY,ARUMA RESOURCES LIMITED                                     ,ORDINARY            ,0.043,20230630
AAP   ,EQY,AUSTRALIAN AGRICULTURAL PROJECTS LIMITED                    ,ORDINARY            ,0.012,20230621
AAR   ,EQY,ASTRAL RESOURCES NL                                         ,ORDINARY            ,0.066,20230630
AAU   ,EQY,ANTILLES GOLD LIMITED                                       ,ORDINARY            ,0.035,20230630
ABA   ,EQY,AUSWIDE BANK LTD                                            ,ORDINARY            ,5.39,20230630
ABB   ,EQY,AUSSIE BROADBAND LIMITED                                    ,ORDINARY            ,2.98,20230630
ABC   ,EQY,ADBRI LIMITED                                               ,ORDINARY            ,2.39,20230630
ABE   ,EQY,AUSTRALIAN BOND EXCHANGE HOLDINGS LIMITED                   ,ORDINARY            ,0.16,20230630
ABV   ,EQY,ADVANCED BRAKING TECHNOLOGY LTD                             ,ORDINARY            ,0.038,20230629
ABX   ,EQY,ABX GROUP LIMITED                                           ,ORDINARY            ,0.098,20230630
ABY   ,EQY,ADORE BEAUTY GROUP LIMITED                                  ,ORDINARY            ,0.8,20230630
AC8   ,EQY,AUSCANN GROUP HOLDINGS LTD                                  ,ORDINARY            ,0.04,20220831
ACB   ,EQY,A-CAP ENERGY LIMITED                                        ,ORDINARY            ,0.044,20230630
ACE   ,EQY,ACUSENSUS LIMITED.                                          ,ORDINARY            ,3.19,20230630
ACF   ,EQY,ACROW FORMWORK AND CONSTRUCTION SERVICES LIMITED            ,ORDINARY            ,0.78,20230630
ACL   ,EQY,AUSTRALIAN CLINICAL LABS LIMITED                            ,ORDINARY            ,3.44,20230630
ACP   ,EQY,AUDALIA RESOURCES LIMITED                                   ,ORDINARY            ,0.011,20230630
ACQ   ,EQY,ACORN CAPITAL INVESTMENT FUND LIMITED                       ,ORDINARY            ,0.95,20230630
ACR   ,EQY,ACRUX LIMITED                                               ,ORDINARY            ,0.042,20230630
ACS   ,EQY,ACCENT RESOURCES NL                                         ,ORDINARY            ,0.011,20230627
ACU   ,EQY,ACUMENTIS GROUP LIMITED                                     ,ORDINARY            ,0.061,20230630
ACW   ,EQY,ACTINOGEN MEDICAL LIMITED                                   ,ORDINARY            ,0.04,20230630
