ASX Code,Market Cap
1AG.AX,3482764
1TT.AX,5042574
1CG.AX,7597930
29M.AX,378917472
14D.AX,12384788
1MC.AX,24715202
1AD.AX,13671165
1AE.AX,18801720
360.AX,2683823360
5EA.AX,123407304
88E.AX,125620496
3DA.AX,177453856
1ST.AX,Not available
3DP.AX,31254810
4DS.AX,163998992
4DX.AX,246386688
5GG.AX,27282072
3PL.AX,348708992
3MF.AX,Not available
A1G.AX,5925885
A11.AX,237129184
A1N.AX,262961984
8IH.AX,3573560
A1M.AX,173426624
8VI.AX,1676456
8CO.AX,9860180
92E.AX,51729132
A2B.AX,177713328
A2M.AX,4503884800
A3D.AX,8977848
AAR.AX,47585876
ABA.AX,206024000
AAJ.AX,3347164
A4N.AX,779722112
AAC.AX,822776896
AAU.AX,17967700
A8G.AX,3648435
AAP.AX,7740684
ABC.AX,2048332928
ABB.AX,1056762240
ACF.AX,348134016
ABY.AX,119326536
ACE.AX,78368000
ABX.AX,13752200
ABV.AX,19047800
ABE.AX,2641757
AC8.AX,17621880
ACP.AX,13842720
ACB.AX,Not available
ACL.AX,530823456
ACQ.AX,75471112
ACS.AX,3311889
ACU.AX,16799476
AD1.AX,5391888
ACW.AX,65277524
ACR.AX,13954416
AD8.AX,1751102336
ADA.AX,51833000
ADC.AX,3615255
ADD.AX,6095880
ADG.AX,3521956
ADH.AX,432627520
ADO.AX,85661168
ADN.AX,68425936
ADR.AX,14337920
ADS.AX,9673500
ADSNA.AX,Not available
ADT.AX,1203452544
ADV.AX,9690213
ADX.AX,51459956
ADY.AX,7821480
AEE.AX,110334872
AEF.AX,552631808
AER.AX,5622070
AFG.AX,439999616
AFA.AX,36450308
AEI.AX,14741700
AEV.AX,19733130
AFI.AX,9148977152
AFP.AX,262164992
AE1.AX,Not available
AFL.AX,11795746
AGC.AX,16888872
AFW.AX,2366096
AGE.AX,216289360
AGD.AX,15920086
AGH.AX,12834689
AGI.AX,420992480
AGL.AX,5637620224
AGR.AX,10430748
AGN.AX,60841888
AGY.AX,182573296
AHI.AX,20028768
AHK.AX,7762496
AHL.AX,73158656
AHF.AX,9695504
AHC.AX,55125376
AHN.AX,3211410
AIM.AX,77261184
AHX.AX,56701572
AII.AX,167932800
AIA.AX,11228058624
AIV.AX,2586036
AHQ.AX,Not available
AJL.AX,16508761
AIS.AX,149966528
AIZ.AX,1852636544
AJQ.AX,10312000
AJY.AX,1360000
AJJ.AX,Not available
AKN.AX,4837434
AKG.AX,25196660
AKP.AX,181102608
AKO.AX,16147076
AKM.AX,101527400
AJX.AX,7934532
AKE.AX,Not available
AL3.AX,16488780
AL8.AX,4427440
ALA.AX,120270272
ALK.AX,362062208
ALI.AX,355553984
ALD.AX,9615484928
ALB.AX,4242335
ALC.AX,67123504
ALQ.AX,6328075776
ALL.AX,27625678848
ALM.AX,10026000
ALG.AX,Not available
ALU.AX,8596364288
ALO.AX,Not available
ALV.AX,12572592
ALX.AX,7747431936
ALY.AX,7068480
AM7.AX,7633500
AMA.AX,108384000
AME.AX,21645690
AMH.AX,348512576
AMI.AX,245016640
AMN.AX,44904472
AMD.AX,47398548
AMO.AX,26184924
AMP.AX,3015188224
AMT.AX,3468719
AMS.AX,26145014
AMC.AX,20523827200
AMX.AX,33246710
ALT.AX,Not available
AND.AX,217986192
AN1.AX,5448729
ANG.AX,281472960
AMM.AX,3536000
ANN.AX,3040707584
ANL.AX,25143402
ANO.AX,44950824
AML.AX,6578400
ANR.AX,6547866
AO1.AX,1947130
ANX.AX,12476304
ANZ.AX,87486144512
AOA.AX,3446400
APC.AX,4154760
APE.AX,3590533888
ANP.AX,Not available
AON.AX,18801260
APL.AX,5084316
APM.AX,1495006720
APX.AX,138335616
APS.AX,2450839
AQC.AX,42576344
AQD.AX,9076639
AQI.AX,17844774
AQX.AX,3454920
AQN.AX,15328060
AQZ.AX,478990336
AR1.AX,84346560
AR3.AX,17151420
AR9.AX,27535180
ARA.AX,97910496
ARB.AX,3375147264
ARC.AX,5075379
ARD.AX,12917600
ARE.AX,17085152
ARG.AX,6706542080
ARL.AX,135941728
ARN.AX,10500672
ARR.AX,138158448
ARU.AX,450508480
ART.AX,122119392
ASB.AX,786499136
AQS.AX,Not available
ASG.AX,542700032
ARO.AX,Not available
AS2.AX,5093613
ARV.AX,30441598
ARX.AX,199195776
ASH.AX,35274120
ASM.AX,248520080
ASN.AX,113232240
ASNNB.AX,Not available
ASQ.AX,11274400
ASO.AX,18130840
ASX.AX,12730808320
ASP.AX,44201340
ATA.AX,268983072
ASR.AX,8320000
AT1.AX,18536858
ASW.AX,Not available
ATC.AX,115733104
ATH.AX,20952082
ATP.AX,71547632
ATM.AX,5286765056
ATR.AX,89177544
ATS.AX,21706792
ATU.AX,9780750
ATV.AX,27909024
ATX.AX,14938462
AU1.AX,12000156
AUA.AX,7230400
AUB.AX,3137269760
AUC.AX,73476488
AUE.AX,18953152
AUG.AX,5036625
AUK.AX,7657640
AUH.AX,8311520
AUI.AX,1285243648
AUN.AX,15301580
AUQ.AX,43803368
AUR.AX,3813008
AVA.AX,39701080
AV1.AX,33271956
AUZ.AX,15678120
AVD.AX,55632424
AVH.AX,620814400
AVJ.AX,189812128
AVG.AX,102318392
AVE.AX,15846499
AUT.AX,Not available
AVC.AX,52872188
AVM.AX,1523230
AVL.AX,146108384
AVR.AX,407128512
AVZ.AX,2752409344
AVW.AX,2133790
AW1.AX,67034368
AX8.AX,25008812
AWJ.AX,20937600
AX1.AX,1106399104
AWC.AX,3801200896
AXI.AX,18606702
AXE.AX,151633984
AXN.AX,26130238
AXP.AX,5824680
AYI.AX,20527402
AYA.AX,23594700
AYT.AX,6425950
AZJ.AX,7307579392
AZI.AX,21942450
AYM.AX,5527740
AZL.AX,91474080
AZS.AX,1674182016
AZY.AX,53752532
BAP.AX,2114542976
